X,Y
11.8792,38.0000
11.9066,38.0000
11.9340,38.0000
11.9614,38.3333
11.9887,38.6500
12.0161,38.7722
12.0435,38.7778
12.0708,39.3417
12.0982,39.5611
12.1256,40.3333
12.1530,40.3333
12.1803,40.3333
12.2077,40.3333
12.2351,40.3333
12.2624,40.3333
12.2898,40.1611
12.3172,40.1667
12.3446,40.1722
12.3719,40.1778
12.3993,39.5167
12.4267,39.5222
12.4540,40.1944
12.4814,40.2000
12.5088,40.8722
12.5362,40.8778
12.5635,40.9417
12.5909,40.9444
12.6183,41.0000
12.6456,41.0000
12.6730,41.0000
12.7004,41.0000
12.7278,40.3750
12.7551,40.3722
12.7825,40.3333
12.8099,40.3333
12.8372,40.3333
12.8646,40.3611
12.8920,40.3583
12.9194,40.3778
12.9467,40.6667
12.9741,41.0000
13.0015,41.3333
13.0288,41.3333
13.0562,40.9917
13.0836,40.6667
13.1110,40.3333
13.1383,40.3333
